iter	MAE	RMSE
93	6.127471079	8.178178571
94	6.12406951	8.171019672
95	6.117531312	8.160324823
96	6.107766875	8.145491501
97	6.098207948	8.130894093
98	6.095241921	8.125222558
99	6.091411633	8.117311652
100	6.079244487	8.097993115
101	6.071174757	8.087022464
102	6.067812938	8.079637563
103	6.063453507	8.070830684
104	6.054342746	8.059033783
105	6.051834131	8.053101387
106	6.042749268	8.041705105
107	6.036809623	8.032740713
108	6.030569801	8.023142306
109	6.024699305	8.013695117
110	6.01365213	7.998027643
111	6.002852903	7.983318475
112	5.994040502	7.97236058
113	5.983932945	7.957038598
114	5.982236744	7.952562212
115	5.971735988	7.936869796
116	5.963110292	7.924203898
117	5.95914867	7.916622274
118	5.952046442	7.906522023
119	5.943766517	7.896628818
120	5.936376265	7.88531649
121	5.927670697	7.87249858
122	5.922289159	7.864663907
123	5.916922084	7.856398267
124	5.907210179	7.843739787
125	5.901750742	7.836057602
126	5.894210853	7.825928918
127	5.888094113	7.817323794
128	5.884006842	7.810739614
129	5.881316398	7.80565389
130	5.873417298	7.794373501
131	5.866206142	7.785467136
132	5.858085108	7.774864344
133	5.853270917	7.767364585
134	5.846314924	7.757942291
135	5.8389011	7.746965882
136	5.835137689	7.741369245
137	5.83243193	7.736514229
138	5.829918172	7.73082372
139	5.81899088	7.716867533
140	5.814125197	7.70874953
141	5.804391318	7.693487727
142	5.800280503	7.686958829
143	5.791843429	7.676440324
144	5.786352106	7.669518839
145	5.779603056	7.660173333
146	5.774904292	7.654269624
147	5.770547645	7.646871037
148	5.765208016	7.638523372
149	5.761391135	7.632558311
150	5.758839916	7.628854759
151	5.757036179	7.625234697
152	5.752937224	7.619516512
153	5.745248701	7.609328328
154	5.741405658	7.603758741
155	5.737988505	7.598076976
156	5.730492654	7.587202185
157	5.723965432	7.577858347
158	5.71896335	7.571131752
159	5.713198374	7.564803806
160	5.709102046	7.559641342
161	5.70363976	7.553065198
162	5.698916561	7.544042294
163	5.693601242	7.537493409
164	5.689067542	7.530833195
165	5.685365602	7.524974189
166	5.67866915	7.515965874
167	5.67369103	7.50820019
168	5.670589895	7.503439858
169	5.66267611	7.493812063
170	5.659918188	7.489481251
171	5.656281904	7.485206223
172	5.647585416	7.473479968
173	5.641217884	7.463324404
174	5.636351329	7.45584735
175	5.631803069	7.450770636
176	5.628784317	7.445854528
177	5.624012785	7.438577557
178	5.619941003	7.431473088
179	5.61703864	7.428067083
180	5.612448336	7.421805433
181	5.609694764	7.416433075
182	5.601156608	7.40444384
183	5.597929481	7.399588496
184	5.594206639	7.393995006
185	5.591607213	7.390705105
186	5.58656485	7.383464619
187	5.583351509	7.379141592
188	5.577396378	7.370827273
189	5.573011772	7.365592295
190	5.568899673	7.359384885
191	5.563421684	7.352294361
192	5.559632137	7.347530261
193	5.554482731	7.339677036
194	5.54978446	7.332423459
195	5.548092285	7.329764858
196	5.541379149	7.319009576
197	5.534971883	7.310279773
198	5.530702658	7.304696857
199	5.522403853	7.293141851
200	5.518591853	7.286427057
201	5.513750471	7.280986346
202	5.511395773	7.276524263
203	5.508524521	7.272183689
204	5.502655713	7.264674079
205	5.497871138	7.258427717
206	5.495011385	7.253957552
207	5.490135294	7.247473958
208	5.483445844	7.23904313
209	5.482408625	7.236799786
210	5.477128403	7.229227001
211	5.471935631	7.22264392
212	5.466369617	7.216283996
213	5.464374819	7.212352167
214	5.458962038	7.206120357
215	5.457739999	7.203766629
216	5.451722532	7.196652881
217	5.448968006	7.193319258
218	5.444682642	7.186126123
219	5.439206766	7.177964709
220	5.435128943	7.172500059
221	5.432377757	7.168432195
222	5.427745084	7.161753346
223	5.425553307	7.158394958
224	5.421321636	7.152005116
225	5.4171899	7.145891387
226	5.414546465	7.142012573
227	5.407924833	7.13415064
228	5.400675429	7.125505615
229	5.397564584	7.122394283
230	5.394240151	7.117499263
231	5.389357514	7.110697194
232	5.385153277	7.104155351
233	5.381662772	7.099408752
234	5.378653434	7.094434833
235	5.375536805	7.089899641
236	5.369330423	7.082550739
237	5.366533844	7.078283122
238	5.361566632	7.072227018
239	5.358472948	7.067431741
240	5.35570286	7.063292289
241	5.351401597	7.057962977
242	5.350304962	7.055634955
243	5.34666408	7.050789452
244	5.344461324	7.047506022
245	5.337698075	7.037379717
246	5.335508986	7.034171287
247	5.333774026	7.031540844
248	5.328882899	7.025064878
249	5.323555496	7.018102619
250	5.320737559	7.014027376
251	5.317316532	7.010475133
252	5.314122974	7.005607497
253	5.307990844	6.996682988
254	5.303769212	6.990305509
255	5.300007915	6.985596976
256	5.296423846	6.980461022
257	5.294506052	6.977217986
258	5.289360797	6.969791597
259	5.285093479	6.963057933
260	5.278892743	6.954138094
261	5.273745646	6.946817263
262	5.268077732	6.939163771
263	5.265247014	6.935328602
264	5.259484406	6.926372827
265	5.255009547	6.92049404
266	5.251082825	6.914865822
267	5.249709392	6.91194375
268	5.245507725	6.906127388
269	5.241008709	6.90007335
270	5.235619659	6.890911436
271	5.234443316	6.889033524
272	5.229569217	6.882233265
273	5.228056906	6.879482304
274	5.223858331	6.873730299
275	5.218500728	6.866381169
276	5.21154009	6.857669892
277	5.207832714	6.853822482
278	5.202906545	6.848199806
279	5.199812913	6.843854312
280	5.194083887	6.836710148
281	5.190460687	6.832109341
282	5.186479524	6.82761387
283	5.182350464	6.821435972
284	5.176931929	6.814126115
285	5.175306131	6.811580778
286	5.17463169	6.810389559
287	5.173039341	6.807296612
288	5.168624703	6.80172363
289	5.162826953	6.79364577
290	5.157772043	6.78667993
291	5.153880123	6.781373249
292	5.151863794	6.778881706
293	5.14703017	6.772199697
294	5.145296776	6.769188326
295	5.140259938	6.762045212
296	5.13713003	6.757720763
297	5.134207792	6.753462037
298	5.128031585	6.745496923
299	5.125313977	6.74146023
300	5.12389659	6.739284766
301	5.115973366	6.729839203
302	5.113212142	6.725556151
303	5.109742867	6.720145383
304	5.104256065	6.712128958
305	5.099121252	6.705939976
306	5.094472502	6.700689948
307	5.092084813	6.697264644
308	5.090486447	6.694465394
309	5.088679702	6.691459509
310	5.083813879	6.686408442
311	5.08088658	6.682860664
312	5.074078666	6.672573086
313	5.068582788	6.664623032
314	5.066499474	6.662081712
315	5.059609144	6.652865887
316	5.056115644	6.648757062
317	5.049682484	6.639967366
318	5.045267638	6.633677556
319	5.040363089	6.626339225
320	5.038669165	6.624209159
321	5.031199973	6.61262473
322	5.028227548	6.608506656
323	5.022520806	6.600701158
324	5.021390029	6.598816577
325	5.01757959	6.594078856
326	5.015054492	6.591370985
327	5.014476979	6.590325668
328	5.011506121	6.585758919
329	5.010453943	6.584083836
330	5.008033194	6.580842609
331	5.002903119	6.575339412
332	4.999735843	6.56994339
333	4.994231106	6.562616494
334	4.988946568	6.555314187
335	4.985600093	6.550831663
336	4.982108953	6.544816426
337	4.97817	6.539675107
338	4.972540737	6.533467476
339	4.967586576	6.526595196
340	4.963318335	6.521268978
341	4.961257086	6.518798447
342	4.953857459	6.508213631
343	4.948758928	6.501073935
344	4.946727077	6.497863444
345	4.938233156	6.487502897
346	4.933806907	6.480826596
347	4.932873406	6.479282281
348	4.926826708	6.471805637
349	4.926182645	6.470183729
350	4.923087193	6.466137936
351	4.91749738	6.459192091
352	4.913523048	6.45459224
353	4.910643403	6.451111549
354	4.906011378	6.443723369
355	4.903551483	6.440792154
356	4.90002298	6.436718104
357	4.898902731	6.434687401
358	4.893152052	6.426071663
359	4.888002614	6.418650324
360	4.886880415	6.416694548
361	4.883833971	6.412436858
362	4.880394813	6.407913424
363	4.871824785	6.396561708
364	4.868632087	6.391906855
365	4.864133361	6.386594466
366	4.859883208	6.380331269
367	4.854695686	6.37255325
368	4.849617312	6.364871518
369	4.84374545	6.358577984
370	4.837686433	6.351602837
371	4.834439073	6.347562106
372	4.830629172	6.343489506
373	4.825417413	6.336611524
374	4.822395297	6.332927527
375	4.816041425	6.324621981
376	4.810539763	6.3173396
377	4.807219399	6.31236435
378	4.804577492	6.30858878
379	4.800870365	6.304488041
380	4.796103709	6.298339327
381	4.791267492	6.292400491
382	4.78744727	6.287221931
383	4.784394924	6.28336447
384	4.781708314	6.27957436
385	4.777498406	6.274398779
386	4.775319537	6.27182024
387	4.770977076	6.266315551
388	4.770116621	6.264944355
389	4.763703485	6.255415871
390	4.761096408	6.251311059
391	4.759526389	6.248804435
392	4.755675197	6.243542672
393	4.751029613	6.238317765
394	4.746082207	6.231200899
395	4.74128003	6.224037609
396	4.738779069	6.220082752
397	4.735022394	6.214994122
398	4.732494641	6.211559351
399	4.729891955	6.207608986
400	4.725591936	6.202351729
401	4.723081084	6.199403496
402	4.720256525	6.196250722
403	4.717694822	6.19241188
404	4.714410132	6.187697797
405	4.710836155	6.182545194
406	4.708056302	6.178628896
407	4.703216422	6.172109347
408	4.698955934	6.166996029
409	4.694112142	6.16125067
410	4.687177239	6.152850977
411	4.684240244	6.147639254
412	4.680961516	6.143845868
413	4.675579798	6.135550794
414	4.674443509	6.134307256
415	4.669664278	6.127828921
416	4.664176187	6.121076451
417	4.659780003	6.114747491
418	4.658747491	6.113622671
419	4.654277283	6.106539164
420	4.649267843	6.100472158
421	4.646748997	6.096103933
422	4.645682503	6.09491816
423	4.640259241	6.088432042
424	4.639247669	6.086767611
425	4.634943093	6.080541161
426	4.63021	6.073510786
427	4.627752642	6.070665124
428	4.624725393	6.067102146
429	4.622093921	6.063923416
430	4.618480325	6.059395148
431	4.617291363	6.057761654
432	4.615739486	6.055341525
433	4.61156003	6.048836965
434	4.609077707	6.045761854
435	4.603316428	6.037860599
436	4.601189048	6.035472726
437	4.597513936	6.03003063
438	4.59344363	6.022999217
439	4.589419673	6.017814593
440	4.583776652	6.01023445
441	4.580029001	6.004694264
442	4.579161586	6.003771017
443	4.578059215	6.0027063
444	4.576336964	6.000809156
445	4.570541449	5.992733173
446	4.568217234	5.990011966
447	4.566157543	5.986931719
448	4.564635191	5.984820165
449	4.560438631	5.979255609
450	4.556539714	5.974310009
451	4.550676932	5.966093461
452	4.545767748	5.959919138
453	4.543990378	5.957472056
454	4.539997927	5.952769447
455	4.53577265	5.947898565
456	4.530400365	5.939852853
457	4.52749458	5.935214199
458	4.525171866	5.931958479
459	4.523220497	5.928969162
460	4.518330217	5.921705825
461	4.514944206	5.917024253
462	4.510778407	5.911940769
463	4.508481294	5.909419893
464	4.507603769	5.90850483
465	4.504583508	5.903453058
466	4.501473558	5.899280671
467	4.497221433	5.892996132
468	4.491762278	5.885399014
469	4.490845324	5.884461236
470	4.488129844	5.88114744
471	4.48356209	5.874521182
472	4.479074952	5.869708885
473	4.473799706	5.863161084
474	4.469068864	5.856721637
475	4.466926191	5.854919249
476	4.46203142	5.849175197
477	4.457526851	5.843323804
478	4.456661699	5.842390656
479	4.454178245	5.838954051
480	4.451481373	5.835514483
481	4.44809215	5.830278443
482	4.443655959	5.824123516
483	4.440069434	5.818895852
484	4.435717272	5.813317782
485	4.434849761	5.812476848
486	4.431129192	5.808001593
487	4.430482314	5.806977992
488	4.425151127	5.799156542
489	4.421690371	5.795102447
490	4.418077514	5.790649629
491	4.416126886	5.787930893
492	4.41390153	5.784709657
493	4.411652416	5.782163578
494	4.409245009	5.778535003
495	4.405347973	5.774104239
496	4.402055429	5.769536576
497	4.399117903	5.764719161
498	4.396930042	5.761530195
499	4.395678597	5.76031717
